number,master_score,current_gap,gap_bucket,average_gap,score_skip_hit_recent50,score_skip_hit_recent100,score_drawings_since_hit,score_skips_due,score_hot_20,score_hot_50,score_frequency_trend,score_number_group_recovery,score_last_digit_recovery,score_multiple_hit_neighbor,score_python_base,rank
14,0.3370687379370086,4,3-5,6.846153846153846,0.1921799374929295,0.26158190306008505,0.4888888888888889,0.4868913857677903,0.5,0.0,0.2727272727272727,0.0,0.11111111111111116,0.75,0.5860422175822328,33
18,0.33291433802673326,4,3-5,8.0,0.1921799374929295,0.26158190306008505,0.4888888888888889,0.4166666666666667,0.6666666666666666,0.25,0.36363636363636365,0.0,0.2222222222222222,0.35,0.3857284988108836,34
31,0.33149376517841944,1,1-2,5.709677419354839,0.0,0.0,0.18888888888888888,0.14595103578154425,0.8333333333333334,0.75,0.6363636363636364,0.5333333333333333,0.2222222222222222,0.35,0.39075258073471675,35
40,0.31746820657372815,2,1-2,5.862068965517241,0.0,0.0,0.28888888888888886,0.2843137254901961,0.16666666666666666,0.375,0.45454545454545453,0.5333333333333333,0.8888888888888888,0.75,0.5385947217087607,36
11,0.30835871696334,0,0,7.2,0.5218872954965376,0.3388954542554931,0.07777777777777778,0.0,0.3333333333333333,0.125,0.09090909090909091,0.0,0.2222222222222222,1.0,0.410345088534644,37
12,0.30822977845142435,3,3-5,5.645161290322581,0.1921799374929295,0.26158190306008505,0.3888888888888889,0.44285714285714284,0.3333333333333333,0.375,0.18181818181818182,0.0,0.0,0.75,0.42782951200440333,38
1,0.3075154022877266,1,1-2,7.416666666666667,0.0,0.0,0.18888888888888888,0.11235955056179775,0.5,0.75,1.0,0.4,0.2222222222222222,0.35,0.30026638242782777,39
19,0.29366873212939787,1,1-2,4.9411764705882355,0.0,0.0,0.18888888888888888,0.16865079365079366,0.5,0.75,0.8181818181818182,0.0,0.4444444444444444,0.35,0.39111012071677803,40
20,0.2826792448941472,2,1-2,6.464285714285714,0.0,0.0,0.28888888888888886,0.2578268876611418,0.5,0.375,0.45454545454545453,0.0,0.8888888888888888,0.35,0.4785612418428614,41
37,0.2765417741414425,2,1-2,6.0344827586206895,0.0,0.0,0.28888888888888886,0.2761904761904762,0.3333333333333333,0.5,0.18181818181818182,0.5333333333333333,1.0,0.35,0.3117885927852761,42
25,0.23363484017686534,2,1-2,9.4,0.0,0.0,0.28888888888888886,0.1773049645390071,0.5,0.375,0.36363636363636365,0.4,0.2222222222222222,0.35,0.2185953392283568,43
35,0.22384257539067,1,1-2,5.088235294117647,0.0,0.0,0.18888888888888888,0.16377649325626206,0.3333333333333333,0.5,0.36363636363636365,0.5333333333333333,0.2222222222222222,0.35,0.21816213505926627,44
2,0.2139982254982255,2,1-2,10.277777777777779,0.0,0.0,0.28888888888888886,0.16216216216216214,0.5,0.375,0.5454545454545454,0.4,0.0,0.35,0.0,45
